id,x,y,z
3500,242.3775,255.0255,277.7205
3501,157.6825,148.5521,63.8126
3502,157.8016,117.9756,224.8278
3503,127.9413,142.1526,228.8037
3504,183.8089,215.4771,71.1369
3505,115.3656,166.7595,41.5142
3506,194.3881,165.2095,178.4542
3507,72.238,76.0076,82.7716
3508,145.4265,153.0153,166.6323
3509,96.1909,113.3343,163.4316
3510,118.7337,91.4058,184.9442
3511,77.1934,76.0948,184.4721
3512,82.5058,82.0871,58.2047
3513,91.8133,113.5541,61.7492
3514,107.4111,82.3191,57.3903
3515,23.7625,25.0025,27.2275
24,216.2417,231.9943,183.9087
41,202.5304,229.4557,98.1815
47,118.0373,122.8032,82.9668
3,121.7857,119.4697,87.4241
