id,x,y,z
3500,255,255,255.0765
3501,155.3846,141.9309,51.7753
3502,153.9736,95.5418,214.6648
3503,140.6265,144.6522,215.4348
3504,193.3822,227.0954,52.7953
3505,130.4675,188.4634,26.7975
3506,190.9308,147.7501,164.6695
3507,76,76,76.0228
3508,153,153,153.0459
3509,107.2228,118.2563,152.7859
3510,117.3587,75.5521,176.9034
3511,84.1652,72.6689,177.0334
3512,83.7323,80.3319,51.2653
3513,99.5474,121.7643,51.7753
3514,100.9596,69.0438,51.0153
3515,25,25,25.0075
24,225.8502,234.7276,163.7489
41,211.6615,238.4001,78.6331
5,121.3505,122.7427,72.4916
3,123.1684,116.0874,77.3431
