id,x,y,z
3500,250.0785,254.9745,301.359
3501,163.3402,144.895,65.2954
3502,164.479,122.4962,246.0148
3503,131.7141,144.948,251.1045
3504,188.9269,208.6139,72.0376
3505,117.4778,160.4867,41.3769
3506,201.9538,165.708,192.4852
3507,74.5332,75.9924,89.8168
3508,150.0471,152.9847,180.8154
3509,98.8048,114.7178,179.0968
3510,123.6602,95.2793,202.7589
3511,79.7913,80.1887,203.6182
3512,85.3051,80.9038,61.9243
3513,94.1536,110.8204,65.2954
3514,111.9195,81.4827,60.2718
3515,24.5175,24.9975,29.545
24,222.9787,229.1533,197.2604
41,208.4411,223.1446,101.6407
47,121.8548,120.7849,88.1963
3,125.9765,117.8821,93.1138
